name,appearances,assist,assistCorner,assistCross,assistFreekick,assistOther,assistThroughball,assistThrowin,challengeLost,clearanceTotal,dispossessed,dribbleLost,dribbleTotal,dribbleWon,duelAerialLost,duelAerialTotal,duelAerialWon,foulCommitted,foulGiven,goalObox,goalPenaltyArea,goalSixYardBox,goalTotal,interceptionAll,keyPassLong,keyPassShort,keyPassesTotal,mins,offsideGiven,outfielderBlock,outfielderBlockedPass,passCrossBlockedDefensive,passLongBallAccurate,passLongBallInaccurate,passTotal,rating,redCard,saveObox,savePenaltyArea,saveSixYardBox,saveTotal,shortPassAccurate,shortPassInaccurate,shotOboxTotal,shotPenaltyArea,shotSixYardBox,shotsTotal,tackleTotalAttempted,tackleWonTotal,team,turnover,yellowCard
Michael Mancienne ,12,0,0,0,0,0,0,0,0.7,4.6,0,0.1,0.3,0.2,2.2,6.4,4.2,2,0.3,0,0.1,0,0.1,1.6,0,0,0,1054,0,1,0.2,0,4.1,3.1,43.5,6.61,0.1,0,0,0,0,31.1,5.3,0,0.3,0,0.3,2,1.3,"New England Revolution, ",0.4,0.2
Nedum Onuoha ,21,0,0,0,0,0,0,0,0.2,4,0.2,0.1,0.4,0.3,1.5,3.1,1.6,0.6,0.4,0,0,0,0,1.1,0,0.1,0.1,1873,0,1,0.3,0.2,2,2.1,39.4,6.69,0,0,0,0,0,32.8,2.5,0,0.2,0,0.2,1.3,1.1,"Real Salt Lake, ",0.7,0.1
Alexander Ring ,1,0,0,0,0,0,0,0,2,3,1,0,1,1,3,4,1,1,1,0,0,0,0,0,0,2,2,90,0,0,2,0,11,8,75,6.75,0,0,0,0,0,50,6,0,1,0,1,4,2,"New York City FC, ",0,0
Jukka Raitala ,18,0,0,0,0,0,0,0,0.6,2.6,0,0,0,0,1.4,2.5,1.1,0.8,0.8,0,0,0,0,1.2,0.1,0.2,0.2,1595,0,0.5,0.5,0.1,3.9,3.7,49.2,6.4,0,0,0,0,0,38.5,3.2,0,0.1,0,0.1,1.7,1.2,"Montreal Impact, ",0.2,0.1
Rudy Camacho ,13,0,0,0,0,0,0,0,0.7,3.6,0.2,0.2,0.6,0.5,1.7,3.7,2,0.9,0.3,0,0,0.1,0.1,1.5,0,0.3,0.3,1167,0,0.3,0.2,0.1,4.2,3.6,66.9,6.58,0,0,0,0,0,54.2,4.9,0.1,0.2,0.2,0.5,2.1,1.4,"Montreal Impact, ",0.4,0.2
Claude Dielna ,7,0,0,0,0,0,0,0,0.4,5.3,0,0,0.1,0.1,1.6,3.3,1.7,1.7,0.9,0,0,0,0,0.7,0,0,0,627,0,0.1,0.1,0.1,3.2,4.4,45.4,6.55,0,0,0,0,0,34,3.7,0.1,0.3,0.3,0.7,2.3,1.9,"Portland Timbers, ",0.4,0.4
Zakaria Diallo ,23,0.1,0,0,0,0,0,0,0.3,3.3,0.3,0.1,0.7,0.6,1,3,2.1,0.8,1,0,0.1,0,0.1,1,0,0.2,0.3,2037,0,0.4,0.6,0,4.6,4.1,59.4,6.69,0,0,0,0,0,45.1,5.6,0,0.4,0.1,0.5,1.7,1.4,"Montreal Impact, ",0.5,0.1
Aurélien Collin ,5,0,0,0,0,0,0,0,1,3.5,0,0,0.2,0.2,1.8,4.7,2.9,0.8,0.8,0,0,0,0,1.2,0,0.2,0.2,440,0,1,0.8,0,3.5,2.7,57.3,6.69,0,0,0,0,0,45.8,5.3,0,1,0,1,3.7,2.7,"Philadelphia Union, ",0.6,0.4
Frédéric Brillant ,29,0,0,0,0,0,0,0,0.9,6.2,0.2,0,0.2,0.2,1.6,4.3,2.7,0.7,0.3,0,0,0,0,1,0,0.2,0.2,2583,0,1.1,0.4,0.1,2,2.5,39.6,6.97,0,0,0,0,0,30.9,4.1,0,0.5,0.2,0.8,2.4,1.5,"DC United, ",0.3,0.2
Bacary Sagna ,1,0,0,0,0,0,0,0,0,7,0,0,0,0,1,3,2,0,0,0,0,0,0,1,0,0,0,90,0,1,0,2,2,3,72,6.47,0,0,0,0,0,66,1,0,1,0,1,0,0,"Montreal Impact, ",0,1
Guram Kashia ,15,0,0,0,0,0,0,0,1,2.8,0.1,0,0.3,0.3,1.6,3.7,2.1,0.9,0.3,0,0,0,0,1.9,0.1,0.3,0.4,1350,0,0.7,0.8,0,6.6,4.7,62,6.81,0,0,0,0,0,46.9,3.9,0,0.4,0.1,0.5,3.4,2.4,"San Jose Earthquakes, ",0.4,0.1
Florian Jungwirth ,24,0,0,0,0,0,0,0,0.9,3.5,0.1,0,0,0,2.1,4.2,2.1,1.3,1,0,0,0,0,2,0,0.2,0.2,2160,0,0.5,0.7,0.1,5,2.6,60.3,6.92,0,0,0,0,0,47.7,4.9,0.3,0.3,0,0.7,3.1,2.2,"San Jose Earthquakes, ",0.4,0.1
Bastian Schweinsteiger ,23,0.1,0,0,0,0.1,0,0,0.6,2.9,0.3,0.1,0.7,0.6,1,2,1,1.1,1,0,0,0,0,1.4,0.2,0.4,0.7,2070,0,0.5,0.7,0,7.1,4.2,62.4,6.96,0,0,0,0,0,47.4,3.7,0.2,0.3,0,0.6,2.3,1.8,"Chicago Fire, ",0.4,0.4
Lalas Abubakar ,16,0,0,0,0,0,0,0,0,8,1,0,0,0,2,6,4,0,0,0,0,0,0,2,0,0,0,1440,0,2,0,0,1,0,51,6.67,0,0,0,0,0,47,3,0,2,0,2,0,0,"Colorado Rapids, ",0,0
Jonathan Mensah ,19,0,0,0,0,0,0,0,0.3,4.1,0.1,0,0.2,0.2,1.7,4.8,3.1,0.8,0.3,0,0,0,0,0.9,0,0.2,0.2,1710,0.1,0.8,0.3,0.1,3.6,3.9,57,6.44,0,0,0,0,0,44.7,4.7,0.1,0.4,0.1,0.6,0.9,0.6,"Columbus Crew, ",0.4,0.3
Florentin Pogba ,5,0,0,0,0,0,0,0,0.5,1.4,1.2,0,0.5,0.5,1.4,2.8,1.4,1.4,0.2,0,0,0,0,1.9,0,0,0,389,0,0.7,0.7,0.2,4.9,4.4,56.7,6.92,0,0,0,0,0,42.8,4.6,0,0.2,0,0.2,1.6,1.2,"Atlanta United, ",1.4,0.2
Maynor Figueroa ,21,0,0,0,0,0,0,0,0.4,3.9,0,0,0.6,0.6,1.4,3.3,1.9,0.8,1.1,0,0,0,0,1.3,0.1,0.3,0.4,1890,0,0.8,0.6,0.1,4.4,4.2,56.2,6.63,0,0,0,0,0,42,5.6,0.9,0,0,0.9,1.5,1,"Houston Dynamo, ",0.3,0.3
Botond Baráth ,16,0,0,0,0,0,0,0,0.4,3.8,0.1,0.2,0.5,0.3,3,5.9,2.9,1.4,0.4,0,0,0,0,1.2,0.1,0,0.1,1368,0,0.7,0.6,0.1,3.7,3.7,56.1,6.62,0,0,0,0,0,45.8,3,0,0.3,0,0.3,1.2,0.9,"Sporting Kansas City, ",0.2,0.3
Maxime Chanot ,26,0,0,0,0,0,0,0,0.5,5.1,0.2,0,0.4,0.4,1.7,4.4,2.8,1,0.7,0,0,0,0,1.5,0,0.2,0.2,2340,0.1,0.8,0.6,0.1,4.3,4.2,54.8,7.01,0,0,0,0,0,41.7,4.7,0,0.3,0,0.4,2.6,2.2,"New York City FC, ",0.4,0.3
Johan Kappelhof ,11,0,0,0,0,0,0,0,0.3,4.1,0.3,0.1,0.3,0.2,0.9,2.4,1.5,1.1,0.4,0,0,0,0,1.1,0,0.2,0.2,989,0,0.8,0.1,0,3.3,2.6,39.4,6.36,0,0,0,0,0,30.3,3.2,0.2,0,0,0.2,1.1,0.8,"Chicago Fire, ",0.3,0.2
Maikel van der Werff ,6,0,0,0,0,0,0,0,0.3,4.8,0.2,0,0.3,0.3,1.2,4,2.8,1.3,1.2,0,0,0,0,0.5,0.2,0.2,0.3,540,0.3,0.8,0,0.2,5.3,4.3,50.8,6.29,,0,0,0,0,36.8,4.3,0,0,0.2,0.2,1.7,1.3,"FC Cincinnati, ",0.5,
Bill Tuiloma ,14,0,0,0,0,0,0,0,0.7,5,0.1,0,0.2,0.2,1.6,4.4,2.8,0.8,0.3,0,0.1,0,0.1,1.3,0,0,0,1230,0,0.9,0.2,0.3,3.7,2.1,35.3,6.8,0,0,0,0,0,26.5,3,0.1,1.1,0,1.2,2.2,1.5,"Portland Timbers, ",0.4,0.1
Deklan Wynne ,8,0,0,0,0,0,0,0,0.3,3.9,0.1,0.1,0.1,0,2,3.1,1.1,0.8,0.3,0,0,0,0,0.9,0,0.1,0.1,720,0,0.9,0.5,0.4,3.3,4,37.6,6.22,0,0,0,0,0,26.8,3.6,0,0,0,0,1.6,1.4,"Colorado Rapids, ",0.1,0
Tommy Smith ,21,0,0,0,0,0,0,0,0.1,3.6,0.2,0,0,0,1,3.4,2.4,0.5,0.3,0,0,0,0.1,1,0.1,0.2,0.3,1875,0.1,1.2,0.2,0,2.9,3,30.1,6.55,0,0,0,0,0,21.9,2.3,0,0.5,0.2,0.8,0.9,0.7,"Colorado Rapids, ",0.3,0.1
Michael Boxall ,22,0,0,0,0,0,0,0,0.4,4.3,0.2,0,0.4,0.3,0.9,2.9,2,0.9,0.5,0,0,0,0,1.7,0,0.2,0.2,1980,0,0.6,0.3,0.2,1.4,2.5,35.5,6.92,0,0,0,0,0,28.5,3.1,0,0.3,0.1,0.4,2.3,2,"Minnesota United, ",0.2,0.1
Sebastien Ibeagha ,7,0,0,0,0,0,0,0,0.3,3.9,0,0,0.3,0.3,0.8,3.2,2.4,1.1,0.6,0,0,0,0,0.8,0,0,0,593,0,0.6,0.3,0,3.9,3.5,46.9,6.64,0,0,0,0,0,36.7,2.7,0,0.3,0,0.3,1.2,0.9,"New York City FC, ",0.8,0
Harold Cummings ,16,0,0,0,0,0,0,0,0.6,3.5,0.3,0,0.5,0.5,1.5,2.8,1.4,1,0.8,0,0,0,0,1.9,0.1,0.2,0.3,1392,0,1,0.7,0.1,5.2,4.4,59.5,6.66,0,0,0,0,0,46.2,3.7,0,0.1,0,0.1,2.5,1.9,"San Jose Earthquakes, ",0.5,0.3
Román Torres ,11,0,0,0,0,0,0,0,0.6,4.3,0.2,0.1,0.4,0.3,1.4,3.5,2.2,0.4,0.4,0,0,0,0,1.4,0,0.2,0.2,990,0.1,0.4,0.3,0,3.9,4.7,42.3,6.76,0,0,0,0,0,29.5,4.2,0.1,0.7,0.2,1,1.7,1.1,"Seattle Sounders FC, ",0.3,0.2
Alexander Callens ,19,0,0,0,0,0,0,0,0.8,3.7,0.4,0.1,0.4,0.3,1.4,3.4,2,1.1,1.4,0,0,0,0,1.7,0,0.1,0.1,1710,0.1,0.3,0.9,0.2,3.8,4.8,60.2,6.81,0,0,0,0,0,47.4,4.2,0.3,0.3,0.1,0.6,2.7,1.9,"New York City FC, ",0.5,0.1
Carlos Ascues ,2,0,0,0,0,0,0,0,0.8,3,0.8,0,0.8,0.8,0,1.5,1.5,0,0,0,0,0,0,0.8,0,0,0,120,0,1.5,0.8,0,5.3,6,39.8,5.84,0,0,0,0,0,24.8,3.8,0,0,0,0,0.8,0,"Orlando City, ",1.5,0
Abdul Rwatubyaye ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,2,0,0,0,0,0,1,0,0,0,90,0,0,0,1,4,5,64,5.74,0,0,0,0,0,48,7,0,0,0,0,1,1,"Sporting Kansas City, ",1,1
Danny Wilson ,3,0,0,0,0,0,0,0,1.3,4,0.3,0,0.3,0.3,1.3,3.3,2,1,0,0,0,0,0,1,0,0,0,270,0,1,0,0.7,5.7,6,27.7,7.02,0,0,0,0,0,13.3,2.7,0,0.3,0,0.3,3.3,2,"Colorado Rapids, ",0,0
Lamine Sané ,21,0,0,0,0,0,0,0,0.3,4.3,0.1,0,0.3,0.3,1.2,3.4,2.1,0.4,0.5,0,0,0,0,1.9,0,0.3,0.4,1890,0.1,0.4,0.3,0,3.6,2.7,43.7,6.79,0,0,0,0,0,34.3,3,0,0.3,0,0.3,1,0.8,"Orlando City, ",0.3,0.1
Aljaz Struna ,25,0,0,0,0,0,0,0,0.4,2.5,0,0,0.2,0.2,0.9,2.2,1.3,0.9,0.2,0,0,0,0,0.7,0,0.2,0.2,2250,0,0.8,0.5,0.1,2.4,2.1,45.9,6.32,0,0,0,0,0,38,3.4,,,,,1.1,0.7,"Houston Dynamo, ",0.2,0.1
Kim Kee-hee ,24,0,0,0,0,0,0,0,0.6,3.1,0.3,0.1,0.3,0.2,1,2.1,1.1,1,0.4,0,0,0,0,1.6,0,0.3,0.3,2082,0,0.3,0.6,0,3.1,2.9,43.7,6.48,0,0,0,0,0,34.3,3.5,0.1,0.4,0.1,0.6,1.5,1,"Seattle Sounders FC, ",0.4,0.3
Andreu Fontàs ,10,0,0,0,0,0,0,0,1.3,2.8,0.2,0,0.2,0.2,1.5,3.5,1.9,0.7,0.5,0,0,0,0,1.2,0.1,0.2,0.3,878,0,0.6,0.8,0.1,3.6,3.2,75,6.49,0,0,0,0,0,64.7,3.6,0.2,0,0.1,0.3,3.4,2.1,"Sporting Kansas City, ",0.1,0.2
Robin Jansson ,23,0,0,0,0,0,0,0,0.4,4.5,0.1,0,0.1,0,1.3,2.4,1.1,0.7,0.4,0,0,0,0,1.2,0,0,0,2025,0,0.5,0.3,0.2,2.4,3.9,38,6.47,0,0,0,0,0,29.2,2.4,0.2,0.2,0,0.4,1.1,0.7,"Orlando City, ",0.3,0.2
Axel Sjöberg ,5,0,0,0,0,0,0,0,0.2,2.6,0,0,0.2,0.2,1.4,3.5,2.1,1.2,0.5,0,0,0,0,1.4,0,0,0,387,0,0.5,0.5,0,1.9,3,42.6,6.02,0.2,0,0,0,0,34.2,3.5,0,1.2,0,1.2,1.2,0.9,"Colorado Rapids, ",0.2,0
Francois Affolter ,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,2,1,0,0,0,0,0,1,0,0,0,90,0,0,0,0,4,1,57,6.33,0,0,0,0,0,48,4,0,0,0,0,3,2,"San Jose Earthquakes, ",0,0
Reto Ziegler ,25,0,0,0,0,0,0,0,0.5,2.9,0.1,0,0,0,1.2,2.5,1.4,1.1,0.4,0,0.2,0,0.2,1.1,0,0.2,0.2,2250,0.2,0.5,0.5,0.2,5.2,3.9,67.1,6.65,0,0,0,0,0,54.1,3.9,0.4,0.4,0,0.8,1.6,1.2,"FC Dallas, ",0.4,0.2
Justin Hoyte ,8,0,0,0,0,0,0,0,0.1,3,0.3,0,0.1,0.1,1.1,2,0.9,0.4,0,0,0,0,0,0.8,0.1,0,0.1,720,0,1,0,0,3.4,1.9,50.9,5.89,0,0,0,0,0,43.4,2.3,0,0,0,0,0.6,0.5,"FC Cincinnati, ",0.3,0.1
Aboubacar Keita ,6,0,0,0,0,0,0,0,0,5.1,0,0,0.5,0.5,1.7,3.8,2.1,0.7,0.3,0,0,0,0,0.9,0,0.2,0.2,526,0,0.2,0.2,0,2.9,2.7,35.4,6.6,0,0,0,0,0,26.3,3.4,0,0.3,0,0.3,1,1,"Columbus Crew, ",0,0
Donovan Pines ,9,0.1,0,0,0,0.1,0,0,0.2,6.6,0.2,0.1,0.6,0.5,1.2,5.7,4.5,0.9,0.5,0,0,0,0,1.9,0,0.6,0.6,772,0,0.7,0.5,0.1,1.6,2.4,36.5,7.19,0,0,0,0,0,28,4.4,0,0.1,0.1,0.2,2.1,1.9,"DC United, ",0.8,0.1
Derek Cornelius ,12,0,0,0,0,0,0,0,0.3,7.3,0.1,0.1,0.2,0.1,1.6,3,1.5,1.5,0.2,0,0,0,0,0.4,0,0.2,0.2,1036,0.1,1.5,0.3,0.3,1.7,3.9,38.7,6.32,0,0,0,0,0,29.6,3.6,0,0.1,0.2,0.3,1.4,1,"Vancouver Whitecaps, ",0.5,0.3
Erik Holt ,4,0,0,0,0,0,0,0,0.3,2.2,0.3,0,0.6,0.6,0.6,1.3,0.6,1.3,0.3,0,0,0,0,2.6,0,0,0,281,0,1.3,1.3,0.3,1.9,3.8,37.2,6.41,0,0,0,0,0,26.9,4.5,0,0,0,0,2.2,1.9,"Real Salt Lake, ",0,0
Brendan McDonough ,1,0,0,0,0,0,0,0,0,2.7,0,0,0,0,1.4,4.1,2.7,0,1.4,0,0,0,0,0,0,0,0,66,0,5.5,0,0,2.7,2.7,46.4,6.26,0,0,0,0,0,39.5,1.4,0,0,0,0,0,0,"Vancouver Whitecaps, ",0,0
Antonio Mlinar Delamea ,11,0.1,0,0,0,0.1,0,0,0.6,3.9,0,0,0.1,0.1,1.7,3.8,2,1.6,0.6,0,0.2,0,0.2,2,0,0.1,0.1,980,0,1.1,0.5,0.5,2.9,1.9,39.2,6.89,0,0,0,0,0,31.2,3.1,0,0.5,0.1,0.6,2.2,1.6,"New England Revolution, ",0.1,0.5
Diego Polenta ,18,0.1,0,0,0,0.1,0,0,1.4,4.1,0.1,0.1,0.5,0.4,0.9,2.6,1.7,0.9,0.7,0,0.1,0,0.1,0.7,0.4,0,0.4,1620,0,0.8,0.6,0.3,4.2,3.9,47.5,6.79,0,0,0,0,0,34.7,4.7,0.1,0.4,0.1,0.7,3.7,2.3,"LA Galaxy, ",0.3,0.3
Miles Robinson ,27,0,0,0,0,0,0,0,0.6,3.9,0.3,0.1,0.4,0.3,1.3,4.4,3.1,0.7,0.9,0,0,0,0,1.9,0,0,0.1,2430,0,0.7,0.7,0.1,2.7,3.1,58.7,7.13,0,0,0,0,0,48,4.9,0,0.5,0,0.6,2.5,1.9,"Atlanta United, ",0.5,0.1
